gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020791,2026-01-21,Calgary Flames,8482074,Connor Zary,F,0,0,0
2025020791,2026-01-21,Calgary Flames,8480860,Kevin Bahl,D,0,0,0
2025020791,2026-01-21,Calgary Flames,8479402,Jake Bean,D,2,0,0
2025020791,2026-01-21,Calgary Flames,8484150,Hunter Brzustewicz,D,2,0,0
2025020791,2026-01-21,Calgary Flames,8477810,Joel Hanley,D,4,1,0
2025020791,2026-01-21,Calgary Flames,8482165,Yan Kuznetsov,D,1,0,0
2025020791,2026-01-21,Calgary Flames,8481167,Brayden Pachal,D,3,0,0
2025020791,2026-01-21,Calgary Flames,8484768,Zayne Parekh,D,1,0,0
2025020791,2026-01-21,Calgary Flames,8477346,MacKenzie Weegar,D,0,0,0
2025020791,2026-01-21,Calgary Flames,8480727,Zach Whitecloud,D,0,0,0
2025020791,2026-01-21,Calgary Flames,8482445,Devin Cooley,G,0,0,0
2025020791,2026-01-21,Calgary Flames,8481692,Dustin Wolf,G,0,0,34
2025020791,2026-01-21,Pittsburgh Penguins,8478569,Noel Acciari,F,4,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8479638,Justin Brazeau,F,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8482475,Egor Chinakhov,F,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8471675,Sidney Crosby,F,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8480980,Connor Dewar,F,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8480842,Filip Hallander,F,3,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8475763,Kevin Hayes,F,3,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8485414,Ben Kindel,F,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8481481,Blake Lizotte,F,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8471215,Evgeni Malkin,F,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8477511,Anthony Mantha,F,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8478438,Tommy Novak,F,2,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8476483,Rickard Rakell,F,4,2,0
2025020791,2026-01-21,Pittsburgh Penguins,8475810,Bryan Rust,F,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8477365,Connor Clifton,D,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8477435,Ryan Graves,D,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8474578,Erik Karlsson,D,4,1,0
2025020791,2026-01-21,Pittsburgh Penguins,8476967,Brett Kulak,D,3,0,0
