date,home,away,market,ev,date_key,total_line_used,model_total,model_spread,period1_home_proj,period1_away_proj,p_home_ml,p_away_ml,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,home_ml_odds,away_ml_odds,home_ml_book,away_ml_book,over_odds,under_odds,over_book,under_book,home_pl_-1.5_odds,away_pl_+1.5_odds,home_pl_-1.5_book,away_pl_+1.5_book,p_f10_yes,p_f10_no,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons,edge_drivers
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_home_pl_-1.5,0.1019,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,puckline,home_pl_-1.5,0.39355,180.0,draftkings,,Columbus Blue Jackets -1.5,0.20158992568188994,p=0.394; spread +0.74; cover margin -0.76,MODEL HOME · COVER-
2026-03-10T00:30:00Z,Chicago Blackhawks,Utah Mammoth,ev_under,0.1237,2026-03-10,5.5,6.19,0.22,0.86,0.99,0.3200152631529802,0.6799847368470198,0.4749,0.5251,0.1818,0.8182,170.0,-205.0,draftkings,draftkings,-135.0,114.0,draftkings,draftkings,,,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.6900000000000004,totals,under,0.5251,114.0,draftkings,5.5,Under 5.5,0.19064219875178778,total 6.19 vs line 5.5 (+0.69); p=0.525; P1 pace 1.85,MODEL UND · LINE- · PACE+
2026-03-10T01:00:00Z,Vancouver Canucks,Ottawa Senators,ev_f10_yes,-0.0208,2026-03-10,6.5,6.01,0.61,0.84,0.77,0.2881824592055559,0.711817540794444,0.2286,0.7714,0.2267,0.7733,180.0,-218.0,draftkings,draftkings,102.0,-122.0,draftkings,draftkings,,,draftkings,draftkings,0.5874921322269153,0.4125078677730847,,,,,,-0.4900000000000002,first10,f10_yes,0.5874921322269153,,,,Yes,0.17897676664074952,p=0.587; P1 pace 1.61,MODEL YES · PACE-
2026-03-10T01:00:00Z,Vancouver Canucks,Ottawa Senators,ev_f10_no,-0.3125,2026-03-10,6.5,6.01,0.61,0.84,0.77,0.2881824592055559,0.711817540794444,0.2286,0.7714,0.2267,0.7733,180.0,-218.0,draftkings,draftkings,102.0,-122.0,draftkings,draftkings,,,draftkings,draftkings,0.5874921322269153,0.4125078677730847,,,,,,-0.4900000000000002,first10,f10_no,0.4125078677730847,,,,No,0.17897676664074952,p=0.413; P1 pace 1.61,MODEL NO · PACE-
2026-03-09T23:00:00Z,Washington Capitals,Calgary Flames,ev_home_pl_-1.5,-0.0611,2026-03-09,5.5,6.05,0.51,1.12,0.73,0.4897236566810607,0.5102763433189392,0.519,0.481,0.4082,0.5918,-192.0,160.0,draftkings,draftkings,-130.0,110.0,draftkings,draftkings,130.0,-155.0,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.5499999999999998,puckline,home_pl_-1.5,0.4082,130.0,draftkings,,Washington Capitals -1.5,0.16253431281632275,p=0.408; spread +0.51; cover margin -0.99,MODEL HOME · COVER-
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_away_pl_+1.5,-0.1154,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,puckline,away_pl_+1.5,0.6064499999999999,-218.0,draftkings,,Los Angeles Kings +1.5,0.14468010802062325,p=0.606; spread +0.74; cover margin -2.24,MODEL AWAY · COVER-
2026-03-09T23:00:00Z,Washington Capitals,Calgary Flames,ev_away_pl_+1.5,-0.0264,2026-03-09,5.5,6.05,0.51,1.12,0.73,0.4897236566810607,0.5102763433189392,0.519,0.481,0.4082,0.5918,-192.0,160.0,draftkings,draftkings,-130.0,110.0,draftkings,draftkings,130.0,-155.0,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.5499999999999998,puckline,away_pl_+1.5,0.5918,-155.0,draftkings,,Calgary Flames +1.5,0.127465232761965,p=0.592; spread +0.51; cover margin -2.01,MODEL AWAY · COVER-
2026-03-09T23:00:00Z,Philadelphia Flyers,New York Rangers,ev_away_ml,0.1992,2026-03-09,5.5,6.02,0.55,1.03,0.96,0.4646635521926879,0.535336447807312,0.5996,0.4004,0.2642,0.7358,-148.0,124.0,draftkings,draftkings,-112.0,-108.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6652930814234967,0.33470691857650325,,,,,,0.5199999999999996,moneyline,away_ml,0.535336447807312,124.0,draftkings,,New York Rangers,0.09982279301958155,p=0.535; spread +0.55,MODEL AWAY · SPREAD-
2026-03-09T23:00:00Z,Washington Capitals,Calgary Flames,ev_away_ml,0.3267,2026-03-09,5.5,6.05,0.51,1.12,0.73,0.4897236566810607,0.5102763433189392,0.519,0.481,0.4082,0.5918,-192.0,160.0,draftkings,draftkings,-130.0,110.0,draftkings,draftkings,130.0,-155.0,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.5499999999999998,moneyline,away_ml,0.5102763433189392,160.0,draftkings,,Calgary Flames,0.07272479036996533,p=0.510; spread +0.51,MODEL AWAY · SPREAD-
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_away_ml,0.1288,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,moneyline,away_ml,0.5130993433189392,120.0,draftkings,,Los Angeles Kings,0.04917961646983599,p=0.513; spread +0.74,MODEL AWAY · SPREAD-
