date,player,team,opp,market,line,proj,p_over,p_under,p_push,over_price,under_price,book,side,price,ev,prob,chosen_prob,edge_score,edge_reasons,edge_drivers,proj_lambda
2026-03-17,Ryan Hartman,MIN,CHI,SOG,1.5,2.598,0.7322,0.2678159122599151,0.0,-198,150,draftkings,Over,-198,0.10197403104315822,0.7321840877400849,0.7321840877400849,0.47815405166077035,JUICE+ · MODEL OVR · CONF60+ · CONS3+,JUICE+ · MODEL OVR · CONF60+ · CONS3+,2.598
2026-03-17,Vince Dunn,SEA,TBL,SOG,1.5,2.204,0.6464,0.35359749517231076,0.0,-140,105,betmgm,Over,-140,0.1081185797046102,0.6464025048276892,0.6464025048276892,0.4751133008950695,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,2.204
2026-03-17,Kirill Kaprizov,MIN,CHI,ASSISTS,0.5,0.356,0.2994,0.7006319365574161,0.0,-105,-125,betmgm,Under,-125,0.26113748580334895,0.7006319365574161,0.7006319365574161,0.4724025713293789,MODEL UND · CONF60+ · CONS3+,MODEL UND · CONF60+ · CONS3+,0.356
2026-03-17,Kasperi Kapanen,EDM,SJS,SOG,1.5,2.449,0.7021,0.29788937933698434,0.0,113,-150,pinnacle,Over,113,0.4954956220122233,0.7021106206630157,0.7021106206630157,0.46883662572753937,MODEL OVR · CONF60+ · CONS3+ · B2B,MODEL OVR · CONF60+ · CONS3+ · B2B,2.449
2026-03-17,Oliver Kapanen,MTL,BOS,SOG,1.5,2.449,0.7021,0.29788937933698434,0.0,102,-134,pinnacle,Over,102,0.41826345373929164,0.7021106206630157,0.7021106206630157,0.46883662572753937,MODEL OVR · CONF60+ · CONS2,MODEL OVR · CONF60+ · CONS2,2.449
2026-03-17,Darren Raddysh,TBL,SEA,SOG,2.5,3.425,0.665,0.33502453853818204,0.0,116,-152,fanduel,Over,116,0.43634699675752686,0.664975461461818,0.664975461461818,0.4685439952634361,MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,3.425
2026-03-17,Alex Tuch,BUF,VGK,SOG,1.5,2.951,0.7935,0.20654754285314247,0.0,-188,145,draftkings,Over,-188,0.21550163648029236,0.7934524571468575,0.7934524571468575,0.46846578062329,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,2.951
2026-03-17,Charlie McAvoy,BOS,MTL,SOG,1.5,2.356,0.6819,0.31812605219309087,0.0,-160,122,fanduel,Over,-160,0.10804516518622731,0.6818739478069091,0.6818739478069091,0.46708284888220797,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,2.356
2026-03-17,Matty Beniers,SEA,TBL,SOG,1.5,2.157,0.6348,0.3651884218243918,0.0,-129,-102,pinnacle,Over,-129,0.126913576761351,0.6348115781756082,0.6348115781756082,0.4658405595734046,MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,2.157
2026-03-17,Matthew Knies,TOR,NYI,SOG,1.5,2.413,0.6945,0.30554731502292254,0.0,-174,132,fanduel,Over,-174,0.09356342346965069,0.6944526849770775,0.6944526849770775,0.46434074557798694,JUICE+ · MODEL OVR · CONF60+ · CONS4+,JUICE+ · MODEL OVR · CONF60+ · CONS4+,2.413
2026-03-17,Kirill Marchenko,CBJ,CAR,POINTS,0.5,1.193,0.6966,0.30337528757545607,0.0,-182,140,draftkings,Over,-182,0.07938554342704063,0.6966247124245439,0.6966247124245439,0.4535627561107473,JUICE+ · MODEL OVR · CONF60+ · CONS3+,JUICE+ · MODEL OVR · CONF60+ · CONS3+,1.193
2026-03-17,Jack Quinn,BUF,VGK,SOG,1.5,2.833,0.7744,0.22555765376953463,0.0,-140,105,betmgm,Over,-140,0.3276154506807979,0.7744423462304654,0.7744423462304654,0.4532576918901763,JUICE · MODEL OVR · CONF60+ · CONS2 · MATCHUP-,JUICE · MODEL OVR · CONF60+ · CONS2 · MATCHUP-,2.833
2026-03-17,Adam Fantilli,CBJ,CAR,POINTS,0.5,1.189,0.6954,0.304570470919314,0.0,-154,120,draftkings,Over,-154,0.14700714536684573,0.695429529080686,0.695429529080686,0.452606609435661,JUICE · MODEL OVR · CONF60+ · CONS3+,JUICE · MODEL OVR · CONF60+ · CONS3+,1.189
2026-03-17,Josh Morrissey,WPG,NSH,POINTS,0.5,0.349,0.2944,0.7055918566656183,0.0,-120,-110,betmgm,Under,-110,0.3470389990889077,0.7055918566656183,0.7055918566656183,0.4516110597104821,MODEL UND · CONF60+ · CONS3+,MODEL UND · CONF60+ · CONS3+,0.349
2026-03-17,Matthew Schaefer,NYI,TOR,POINTS,0.5,1.037,0.6454,0.3546050815620587,0.0,-155,115,betmgm,Over,-155,0.061778736785000066,0.6453949184379413,0.6453949184379413,0.45108023845633544,JUICE · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,JUICE · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,1.037
2026-03-17,Roman Josi,NSH,WPG,ASSISTS,0.5,0.34,0.2885,0.7115394818028485,0.0,-118,-110,betmgm,Under,-110,0.35839355616907453,0.7115394818028485,0.7115394818028485,0.4510459321233408,MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,0.34
2026-03-17,Seth Jarvis,CAR,CBJ,POINTS,0.5,1.238,0.71,0.2899734068747002,0.0,-204,155,draftkings,Over,-204,0.05807884465730956,0.7100265931252998,0.7100265931252998,0.44788851891811426,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,1.238
2026-03-17,Ryan O'Reilly,NSH,WPG,ASSISTS,0.5,0.346,0.2928,0.7072119345208693,0.0,105,-135,draftkings,Under,-135,0.23107262675855023,0.7072119345208693,0.7072119345208693,0.4475838942977574,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,0.346
