date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-01,Viktor Arvidsson,BOS,SOG,2.5,3.716,0.6778,-106,-125,pinnacle,Over,0.3171530163763827,3.716,0.3171530163763827
2026-02-01,Quinton Byfield,LAK,SOG,1.5,2.46,0.7044,-115,-115,draftkings,Over,0.3169576892028001,2.46,0.3169576892028001
2026-02-01,Quinton Byfield,LAK,SOG,1.5,2.46,0.7044,-115,-113,fanduel,Over,0.3169576892028001,2.46,0.3169576892028001
2026-02-01,Mark Stone,VGK,POINTS,1.5,1.68,0.4613,185,-248,draftkings,Over,0.3145882226574773,1.68,0.3145882226574773
2026-02-01,Mark Stone,VGK,POINTS,1.5,1.68,0.4613,185,-260,pinnacle,Over,0.3145882226574773,1.68,0.3145882226574773
2026-02-01,Fraser Minten,BOS,POINTS,0.5,0.965,0.5617,134,-180,pinnacle,Over,0.314268116756811,0.965,0.314268116756811
2026-02-01,Pavel Dorofeyev,VGK,SOG,2.5,3.771,0.6872,-110,-125,betmgm,Over,0.31186401757750004,3.771,0.31186401757750004
2026-02-01,Mitch Marner,VGK,ASSISTS,0.5,0.445,0.3524,-135,102,pinnacle,Under,0.3081987039060551,0.445,0.3081987039060551
2026-02-01,Mitch Marner,VGK,POINTS,0.5,0.848,0.5258,-240,175,pinnacle,Under,0.3039225684519147,0.848,0.3039225684519147
2026-02-01,Quinton Byfield,LAK,SOG,1.5,2.46,0.7044,-118,-113,pinnacle,Over,0.3013846775054868,2.46,0.3013846775054868
2026-02-01,Quinton Byfield,LAK,SOG,1.5,2.46,0.7044,-118,-115,betmgm,Over,0.3013846775054868,2.46,0.3013846775054868
2026-02-01,Jordan Staal,CAR,ASSISTS,0.5,0.443,0.3514,270,-400,betmgm,Over,0.30031775381466475,0.443,0.30031775381466475
2026-02-01,Logan Stankoven,CAR,ASSISTS,0.5,0.443,0.3514,270,-400,betmgm,Over,0.30031775381466475,0.443,0.30031775381466475
2026-02-01,Casey Mittelstadt,BOS,POINTS,0.5,0.931,0.5517,135,-185,betmgm,Over,0.29638095663544517,0.931,0.29638095663544517
2026-02-01,Mitch Marner,VGK,ASSISTS,0.5,0.445,0.3524,-135,100,betmgm,Under,0.29524624149114365,0.445,0.29524624149114365
2026-02-01,Mitch Marner,VGK,ASSISTS,0.5,0.445,0.3524,-130,100,draftkings,Under,0.29524624149114365,0.445,0.29524624149114365
2026-02-01,Yanni Gourde,TBL,POINTS,0.5,0.764,0.4977,160,-217,pinnacle,Over,0.2939254155444556,0.764,0.2939254155444556
2026-02-01,Yanni Gourde,TBL,POINTS,0.5,0.764,0.4977,160,-212,draftkings,Over,0.2939254155444556,0.764,0.2939254155444556
2026-02-01,Fraser Minten,BOS,POINTS,0.5,0.965,0.5617,130,-175,betmgm,Over,0.29180199510284843,0.965,0.29180199510284843
2026-02-01,Mark Stone,VGK,POINTS,1.5,1.68,0.4613,180,-250,betmgm,Over,0.2915252713827846,1.68,0.2915252713827846
2026-02-01,Brandt Clarke,LAK,SOG,1.5,2.365,0.6839,-113,-117,pinnacle,Over,0.2890379967800035,2.365,0.2890379967800035
