team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Boston Bruins,8482117,,POINTS,2.0,371,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482117,,BLOCKS,0.0,3054,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482117,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,SOG,3.0,697,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,GOALS,0.0,5468,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,ASSISTS,1.0,1179,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,POINTS,1.0,1456,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,BLOCKS,1.0,2103,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479369,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,SOG,0.0,1117,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,GOALS,0.0,5310,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,ASSISTS,0.0,4580,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,POINTS,0.0,4031,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,BLOCKS,1.0,2266,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8477507,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,SOG,2.0,1438,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,GOALS,0.0,4810,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,ASSISTS,0.0,5273,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,POINTS,0.0,4250,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,BLOCKS,2.0,240,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8475799,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,SOG,2.0,1597,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,GOALS,0.0,5233,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,ASSISTS,0.0,5011,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,POINTS,0.0,4361,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,BLOCKS,1.0,2013,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480289,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476480,,SOG,3.0,1002,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476480,,GOALS,0.0,5621,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476480,,ASSISTS,0.0,4835,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476480,,POINTS,0.0,4540,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476480,,BLOCKS,1.0,1934,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
