date,player,team,market,line,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-02-03,Adam Fantilli,CBJ,SOG,2.5,0.10631229235880399,-116,-114.0,pinnacle,Under,0.677624293291368,0.893687707641196
2026-02-03,Boone Jenner,CBJ,SOG,1.5,0.10567948109476348,-148,115.0,draftkings,Under,0.9227891156462584,0.8943205189052366
2026-02-03,Ivan Provorov,CBJ,SOG,1.5,0.08274007277329537,-125,-105.0,draftkings,Under,0.7908408102997565,0.9172599272267046
2026-02-03,Mason Marchment,CBJ,POINTS,0.5,0.19191419141914193,-135,102.0,pinnacle,Under,0.6323333333333334,0.8080858085808581
2026-02-03,Mason Marchment,CBJ,SOG,1.5,0.21386138613861386,-175,135.0,draftkings,Under,0.8474257425742575,0.7861386138613862
2026-02-03,Zach Werenski,CBJ,ASSISTS,0.5,0.12213257395981648,-175,131.0,pinnacle,Under,1.027873754152824,0.8778674260401835
2026-02-03,Connor McDavid,EDM,POINTS,1.5,0.04287314029755239,-142,110.0,draftkings,Under,1.00996640537514,0.9571268597024476
2026-02-03,Connor McDavid,EDM,SOG,3.5,0.06494960806270997,-108,-120.0,fanduel,Under,0.7142590518850318,0.93505039193729
2026-02-03,Evan Bouchard,EDM,ASSISTS,0.5,0.16749320108782595,-188,145.0,draftkings,Under,1.0396416573348266,0.832506798912174
2026-02-03,Evan Bouchard,EDM,SOG,2.5,0.16493361062230044,-175,135.0,draftkings,Under,0.9624060150375939,0.8350663893776995
2026-02-03,Jack Roslovic,EDM,SOG,1.5,0.18793388429752067,-146,112.0,fanduel,Under,0.7215801652892563,0.8120661157024793
2026-02-03,Jake Walman,EDM,SOG,1.5,0.18201355595966276,-195,145.0,pinnacle,Under,1.0040667878988265,0.8179864440403373
2026-02-03,Leon Draisaitl,EDM,ASSISTS,0.5,0.1430171172612382,-230,168.0,pinnacle,Under,1.2967141257398813,0.8569828827387618
2026-02-03,Leon Draisaitl,EDM,POINTS,1.5,0.053111502159654454,-115,-115.0,draftkings,Under,0.7702698003102112,0.9468884978403456
2026-02-03,Leon Draisaitl,EDM,SOG,2.5,0.1398176291793313,-188,142.0,fanduel,Under,1.081641337386018,0.8601823708206687
2026-02-03,Ryan Nugent-Hopkins,EDM,POINTS,0.5,0.2081266997280435,-198,150.0,draftkings,Under,0.9796832506798911,0.7918733002719565
2026-02-03,Ryan Nugent-Hopkins,EDM,SOG,1.5,0.13965765477523595,-174,132.0,fanduel,Under,0.9959942409214528,0.860342345224764
2026-02-03,Zach Hyman,EDM,POINTS,0.5,0.2802579365079365,-230,168.0,pinnacle,Under,0.92890873015873,0.7197420634920635
2026-02-03,Zach Hyman,EDM,SOG,2.5,0.17526455026455026,-188,140.0,pinnacle,Under,0.9793650793650794,0.8247354497354498
2026-02-03,Cody Glass,NJD,SOG,1.5,0.05299794336339187,-154,120.0,draftkings,Under,1.083404524600538,0.9470020566366081
2026-02-03,Connor Brown,NJD,SOG,1.5,0.08241305422778968,-168,130.0,draftkings,Under,1.1104499752760837,0.9175869457722103
2026-02-03,Dawson Mercer,NJD,SOG,1.5,0.06359753203607024,-132,102.0,fanduel,Under,0.8915329852871382,0.9364024679639298
2026-02-03,Dougie Hamilton,NJD,SOG,3.5,0.017402309761113746,110,-140.0,fanduel,Under,0.6844531832666622,0.9825976902388862
2026-02-03,Jesper Bratt,NJD,POINTS,0.5,0.14032589780098087,-142,110.0,draftkings,Under,0.8053156146179401,0.8596741021990191
2026-02-03,Nico Hischier,NJD,POINTS,0.5,0.14538838791330486,-181,135.0,pinnacle,Under,1.0083372884037336,0.8546116120866951
2026-02-03,Nico Hischier,NJD,SOG,2.5,0.037968675842429994,-148,112.0,pinnacle,Under,1.0395064072140485,0.96203132415757
