date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-12,Matvei Michkov,PHI,TBL,BLOCKS,3.5,0.4327,1.0104,0.007529,Under,0.992471
2026-01-12,Christian Dvorak,PHI,TBL,BLOCKS,3.5,0.4327,1.0104,0.007529,Under,0.992471
2026-01-12,Trevor Zegras,PHI,TBL,BLOCKS,3.5,0.4327,1.0104,0.007529,Under,0.992471
2026-01-12,Zach Hyman,EDM,CHI,BLOCKS,3.5,0.4537,0.9937,0.007922,Under,0.992078
2026-01-12,Roope Hintz,DAL,LAK,BLOCKS,1.5,0.103,0.9963,0.008052,Under,0.991948
2026-01-12,Owen Tippett,PHI,TBL,BLOCKS,3.5,0.4509,1.0104,0.008461,Under,0.991539
2026-01-12,Carter Verhaeghe,FLA,BUF,BLOCKS,2.5,0.2736,0.9924,0.008565,Under,0.991435
2026-01-12,Jordan Eberle,SEA,NYR,BLOCKS,1.5,0.1061,1.0023,0.008593,Under,0.991407
2026-01-12,Marcus Johansson,MIN,NJD,BLOCKS,1.5,0.107,0.9972,0.008727,Under,0.991273
2026-01-12,Max Domi,TOR,COL,BLOCKS,3.5,0.4779,1.0018,0.00913,Under,0.99087
2026-01-12,Mavrik Bourque,DAL,LAK,BLOCKS,2.5,0.2853,0.9963,0.009489,Under,0.990511
2026-01-12,Alex DeBrincat,DET,CAR,BLOCKS,1.5,0.1149,1.0024,0.009881,Under,0.990119
2026-01-12,Brock Boeser,VAN,MTL,BLOCKS,3.5,0.4871,1.0037,0.009925,Under,0.990075
2026-01-12,Valeri Nichushkin,COL,TOR,BLOCKS,1.5,0.117,0.9943,0.010054,Under,0.989946
2026-01-12,Ryan Greene,CHI,EDM,BLOCKS,1.5,0.1183,1.0015,0.010643,Under,0.989357
2026-01-12,Teuvo Teravainen,CHI,EDM,BLOCKS,3.5,0.5102,1.0015,0.011286,Under,0.988714
2026-01-12,Warren Foegele,LAK,DAL,BLOCKS,2.5,0.3071,0.9974,0.011334,Under,0.988666
2026-01-12,Tyler Bertuzzi,CHI,EDM,BLOCKS,1.5,0.1227,1.0015,0.011367,Under,0.988633
2026-01-12,Zach Benson,BUF,FLA,BLOCKS,3.5,0.5219,1.0065,0.011946,Under,0.988054
2026-01-12,Connor Bedard,CHI,EDM,BLOCKS,3.5,0.5225,1.0015,0.012052,Under,0.987948
2026-01-12,Leon Draisaitl,EDM,CHI,BLOCKS,2.5,0.3154,0.9937,0.012248,Under,0.987752
2026-01-12,Connor McDavid,EDM,CHI,BLOCKS,2.5,0.3154,0.9937,0.012248,Under,0.987752
2026-01-12,Brendan Gallagher,MTL,VAN,BLOCKS,1.5,0.1286,1.0004,0.012306,Under,0.987694
2026-01-12,Jack Quinn,BUF,FLA,BLOCKS,3.5,0.529,1.0065,0.012394,Under,0.987606
2026-01-12,Jared McCann,SEA,NYR,BLOCKS,3.5,0.5339,1.0023,0.012529,Under,0.987471
2026-01-12,Lucas Raymond,DET,CAR,BLOCKS,3.5,0.5379,1.0024,0.012599,Under,0.987401
2026-01-12,Quinton Byfield,LAK,DAL,BLOCKS,1.5,0.1321,0.9974,0.012663,Under,0.987337
