date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-01,Bo Horvat,NYI,FLA,ASSISTS,0.5,0.2233,0.186125,145,-188,draftkings,Under,-188,0.24276595744680857,0.81125,0.5390734948522615,p 81%; opp allow 5.60; line 0.5,0.81125
2026-03-01,Connor Zary,CGY,ANA,POINTS,0.5,0.2473,0.209313,150,-198,draftkings,Under,-198,0.20714532323232332,0.802063,0.5371414957592217,p 80%; opp allow 8.70; line 0.5,0.802063
2026-03-01,Logan Cooley,UTA,CHI,ASSISTS,0.5,0.2307,0.193625,170,-225,betmgm,Under,-225,0.164763888888889,0.8063750000000001,0.5351734948522616,p 81%; opp allow 5.60; line 0.5,0.8063750000000001
2026-03-01,Sam Bennett,FLA,NYI,POINTS,0.5,0.3504,0.261813,-145,110,betmgm,Under,110,0.5501926999999999,0.7381869999999999,0.5328377913143542,p 74%; opp allow 7.20; line 0.5,0.7381869999999999
2026-03-01,Mikael Backlund,CGY,ANA,POINTS,0.5,0.2473,0.204937,105,-135,draftkings,Under,-135,0.3814953703703704,0.793625,0.5303910957592217,p 79%; opp allow 8.70; line 0.5,0.793625
2026-03-01,Alexander Wennberg,SJS,WPG,POINTS,0.5,0.2874,0.2235,-108,-122,pinnacle,Under,-122,0.4129754098360655,0.7765,0.5233052718719554,p 78%; opp allow 8.50; line 0.5,0.7765
2026-03-01,Alex Wennberg,SJS,WPG,POINTS,0.5,0.2874,0.225375,-110,-120,betmgm,Under,-120,0.42014583333333344,0.774625,0.5218052718719555,p 77%; opp allow 8.50; line 0.5,0.774625
2026-03-01,Teuvo Teravainen,CHI,UTA,POINTS,0.5,0.3468,0.262125,130,-168,draftkings,Under,-168,0.17798442857142854,0.7384379999999999,0.5215966574105312,p 74%; opp allow 7.60; line 0.5,0.7384379999999999
2026-03-01,Kiefer Sherwood,SJS,WPG,POINTS,0.5,0.2874,0.228437,-107,-124,pinnacle,Under,-124,0.39175716129032256,0.770437,0.5184548718719555,p 77%; opp allow 8.50; line 0.5,0.770437
2026-03-01,Dylan Guenther,UTA,CHI,GOALS,0.5,0.2154,0.182,145,-200,fanduel,Under,-200,0.2270000000000001,0.8180000000000001,0.515956848841898,p 82%; opp allow 3.60; line 0.5,0.8180000000000001
2026-03-01,Frank Nazar,CHI,UTA,POINTS,0.5,0.3598,0.271437,120,-154,draftkings,Under,-154,0.2035097272727272,0.729687,0.5145958574105312,p 73%; opp allow 7.60; line 0.5,0.729687
2026-03-01,Brad Marchand,FLA,NYI,ASSISTS,0.5,0.4193,0.29625,170,-225,draftkings,Under,-225,0.013549333333333302,0.701688,0.5040809587844297,p 70%; opp allow 4.50; line 0.5,0.701688
2026-03-01,Sam Reinhart,FLA,NYI,POINTS,0.5,0.4536,0.319188,-198,150,draftkings,Under,150,0.7168749999999999,0.68675,0.4916881913143542,p 69%; opp allow 7.20; line 0.5,0.68675
2026-03-01,Kyle Connor,WPG,SJS,POINTS,1.5,0.9237,0.230875,145,-188,draftkings,Under,-188,0.17344680851063832,0.766,0.48890633914453924,p 77%; opp allow 9.30; line 1.5,0.766
2026-03-01,Will Smith,SJS,WPG,POINTS,0.5,0.3514,0.260437,-162,122,pinnacle,Under,122,0.6181024999999997,0.7288749999999999,0.48520527187195545,p 73%; opp allow 8.50; line 0.5,0.7288749999999999
2026-03-01,Kyle Connor,WPG,SJS,GOALS,0.5,0.329,0.2555,150,-210,fanduel,Under,-210,0.09902380952380951,0.7444999999999999,0.48281417883802824,p 74%; opp allow 3.30; line 0.5,0.7444999999999999
2026-03-01,Sam Reinhart,FLA,NYI,ASSISTS,0.5,0.4764,0.329625,126,-162,draftkings,Under,-162,0.07893055555555556,0.667125,0.4764305587844297,p 67%; opp allow 4.50; line 0.5,0.667125
2026-03-01,Matt Coronato,CGY,ANA,POINTS,0.5,0.3614,0.27725,100,-135,betmgm,Under,-135,0.2581203703703704,0.72275,0.4736910957592218,p 72%; opp allow 8.70; line 0.5,0.72275
2026-03-01,Vladimir Tarasenko,MIN,STL,ASSISTS,0.5,0.2493,0.201,230,-320,draftkings,Under,-320,0.04647331249999992,0.7973129999999999,0.4710311972865493,p 80%; opp allow 7.00; line 0.5,0.7973129999999999
2026-03-01,Logan Stanley,WPG,SJS,ASSISTS,0.5,0.3404,0.255812,190,-264,pinnacle,Under,-264,0.022198863636363697,0.741375,0.4638001247020222,p 74%; opp allow 6.00; line 0.5,0.741375
