date,team,opponent,is_home,goals_for,goals_against,rest_days,b2b,goals_for_roll10,goals_against_roll10
2023-04-10 00:30:00,Anaheim Ducks,Colorado Avalanche,1,4.0,5.0,1,1,1.8,4.4
2023-04-12 02:00:00,Anaheim Ducks,Vancouver Canucks,1,2.0,3.0,2,0,2.1,4.7
2023-04-14 02:00:00,Anaheim Ducks,Los Angeles Kings,1,3.0,5.0,2,0,2.2,4.5
2023-09-25 00:00:00,Anaheim Ducks,Los Angeles Kings,1,3.0,2.0,163,0,2.3,4.7
2023-09-27 02:00:00,Anaheim Ducks,San Jose Sharks,0,4.0,2.0,2,0,2.3,4.3
2023-09-28 02:00:00,Anaheim Ducks,San Jose Sharks,1,4.0,2.0,1,1,2.6,4.0
2023-09-30 02:00:00,Anaheim Ducks,Los Angeles Kings,1,3.0,4.0,2,0,2.9,3.8
2023-10-01 22:00:00,Anaheim Ducks,Arizona Coyotes,0,5.0,4.0,1,1,3.2,3.6
2023-10-04 02:00:00,Anaheim Ducks,Los Angeles Kings,0,1.0,4.0,2,0,3.3,3.5
2023-10-06 02:00:00,Anaheim Ducks,Arizona Coyotes,1,2.0,4.0,2,0,3.3,3.6
2023-10-07 22:00:00,Anaheim Ducks,Arizona Coyotes,0,1.0,7.0,1,1,3.1,3.5
2023-10-15 02:00:00,Anaheim Ducks,Vegas Golden Knights,0,1.0,4.0,7,0,2.8,3.7
2023-10-16 00:30:00,Anaheim Ducks,Carolina Hurricanes,1,6.0,3.0,0,0,2.7,3.8
2023-10-20 02:00:00,Anaheim Ducks,Dallas Stars,1,2.0,3.0,4,0,3.0,3.6
2023-10-21 20:00:00,Anaheim Ducks,Arizona Coyotes,0,1.0,2.0,1,1,2.9,3.7
2023-10-23 00:30:00,Anaheim Ducks,Boston Bruins,1,1.0,3.0,1,1,2.6,3.7
2023-10-25 00:30:00,Anaheim Ducks,Columbus Blue Jackets,0,3.0,2.0,2,0,2.3,3.8
2023-10-26 23:00:00,Anaheim Ducks,Boston Bruins,0,4.0,3.0,1,1,2.3,3.6
2023-10-28 17:00:00,Anaheim Ducks,Philadelphia Flyers,0,7.0,4.0,1,1,2.2,3.5
2023-10-30 23:00:00,Anaheim Ducks,Pittsburgh Penguins,0,4.0,3.0,2,0,2.8,3.5
2023-11-02 02:00:00,Anaheim Ducks,Arizona Coyotes,1,4.0,3.0,2,0,3.0,3.4
2023-11-06 01:00:00,Anaheim Ducks,Vegas Golden Knights,1,4.0,2.0,3,0,3.3,3.0
2023-11-08 03:00:00,Anaheim Ducks,Pittsburgh Penguins,1,0.0,2.0,2,0,3.6,2.8
2023-11-11 03:00:00,Anaheim Ducks,Philadelphia Flyers,1,3.0,6.0,3,0,3.0,2.7
2023-11-13 01:00:00,Anaheim Ducks,San Jose Sharks,1,4.0,1.0,1,1,3.1,3.0
2023-11-15 01:00:00,Anaheim Ducks,Nashville Predators,0,3.0,2.0,2,0,3.4,2.9
2023-11-16 02:00:00,Anaheim Ducks,Colorado Avalanche,0,2.0,8.0,1,1,3.6,2.8
2023-11-18 03:00:00,Anaheim Ducks,Florida Panthers,1,1.0,2.0,2,0,3.5,3.4
2023-11-20 01:00:00,Anaheim Ducks,St. Louis Blues,1,1.0,3.0,1,1,3.2,3.3
2023-11-23 03:00:00,Anaheim Ducks,Montréal Canadiens,1,3.0,4.0,3,0,2.6,3.2
2023-11-24 20:30:00,Anaheim Ducks,Los Angeles Kings,1,2.0,5.0,1,1,2.5,3.3
2023-11-27 02:00:00,Anaheim Ducks,Edmonton Oilers,0,2.0,8.0,2,0,2.3,3.5
2023-11-29 03:00:00,Anaheim Ducks,Vancouver Canucks,0,1.0,3.0,2,0,2.1,4.1
2023-12-01 03:00:00,Anaheim Ducks,Washington Capitals,1,4.0,5.0,2,0,2.2,4.2
2023-12-03 03:00:00,Anaheim Ducks,Colorado Avalanche,1,4.0,3.0,2,0,2.3,4.1
2023-12-06 02:00:00,Anaheim Ducks,Colorado Avalanche,0,2.0,3.0,2,0,2.3,4.3
2023-12-08 01:30:00,Anaheim Ducks,Chicago Blackhawks,0,0.0,1.0,1,1,2.2,4.4
