team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Boston Bruins,8479999,1,Casey Mittelstadt,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0682,0.0682,0.0,0.0,60.0
Boston Bruins,8479999,2,Casey Mittelstadt,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0718,0.0718,0.0,0.0,60.0
Boston Bruins,8479999,3,Casey Mittelstadt,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.075,0.075,0.0,0.0,60.0
Boston Bruins,8479999,4,Casey Mittelstadt,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0392,0.0044,0.0,0.0044,0.0,0.0,4.401
Boston Bruins,8480035,1,Henri Jokiharju,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.07,0.07,0.4162,0.0,60.0
Boston Bruins,8480035,2,Henri Jokiharju,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0684,0.0684,0.4598,0.0,60.0
Boston Bruins,8480035,3,Henri Jokiharju,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.069,0.069,0.4384,0.0,60.0
Boston Bruins,8480035,4,Henri Jokiharju,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0036,0.0004,0.0,0.0004,0.005,0.0,0.767475
Boston Bruins,8480355,1,Mark Kastelic,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2236,0.1248,0.0602,0.185,0.0,0.0,226.7974
Boston Bruins,8480355,2,Mark Kastelic,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3288,0.1274,0.0646,0.192,0.0,0.0,226.5496
Boston Bruins,8480355,3,Mark Kastelic,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2702,0.1332,0.0608,0.194,0.0,0.0,226.2635
Boston Bruins,8480355,4,Mark Kastelic,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0454,0.0028,0.0,0.0028,0.0,0.0,5.558625
Boston Bruins,8480887,1,Jordan Harris,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.1476,0.1268,0.0628,0.1896,0.7308,0.0,390.4272
Boston Bruins,8480887,2,Jordan Harris,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2628,0.1274,0.064,0.19140000000000001,0.7538,0.0,388.9638
Boston Bruins,8480887,3,Jordan Harris,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2296,0.1308,0.06,0.1908,0.7436,0.0,389.304
Boston Bruins,8480887,4,Jordan Harris,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0502,0.0,60.0
Boston Bruins,8481219,1,Jonathan Aspirot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2676,0.1354,0.0622,0.1976,0.7266,0.0,453.0672
Boston Bruins,8481219,2,Jonathan Aspirot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3724,0.1356,0.0596,0.19519999999999998,0.7492,0.0,452.9478
Boston Bruins,8481219,3,Jonathan Aspirot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.319,0.1344,0.0568,0.19119999999999998,0.737,0.0,452.424
Boston Bruins,8481219,4,Jonathan Aspirot,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0698,0.007,0.0,0.007,0.0506,0.0,16.3719
Boston Bruins,8482177,1,Marat Khusnutdinov,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2318,0.1382,0.0594,0.1976,0.0,0.0,226.7974
Boston Bruins,8482177,2,Marat Khusnutdinov,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3026,0.144,0.0604,0.2044,0.0,0.0,226.5496
Boston Bruins,8482177,3,Marat Khusnutdinov,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.293,0.1304,0.0596,0.19,0.0,0.0,226.2635
Boston Bruins,8482177,4,Marat Khusnutdinov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0042,0.0002,0.0,0.0002,0.0,0.0,1.4535
Boston Bruins,8482511,1,Mason Lohrei,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0684,0.0684,0.0,0.0,60.0
Boston Bruins,8482511,2,Mason Lohrei,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0778,0.0778,0.0,0.0,60.0
Boston Bruins,8482511,3,Mason Lohrei,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0704,0.0704,0.0,0.0,60.0
Boston Bruins,8482511,4,Mason Lohrei,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0202,0.0016,0.0,0.0016,0.0,0.0,4.0032
Boston Bruins,8482634,1,Alex Steeves,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0708,0.0708,0.0,0.0,60.0
