date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev
2025-10-12,Conor Sheary,,SOG,1.5,2.0,0.5939941502901616,100,-130.0,betonlineag,Over,0.18798830058032312
2025-10-12,Will Cuylle,,ASSISTS,0.5,0.4,0.32967995396436056,260,-370.0,draftkings,Over,0.18684783427169804
2025-10-12,Will Cuylle,,POINTS,0.5,0.7,0.5034146962085905,135,-175.0,draftkings,Over,0.18302453609018765
2025-10-12,Pierre-Luc Dubois,,SOG,1.5,2.0,0.5939941502901616,-101,-128.0,betonlineag,Over,0.18210717037943047
2025-10-12,Mika Zibanejad,,SOG,2.5,2.0,0.32332358381693654,-102,-134.0,williamhill_us,Under,0.18165881631967784
2025-10-12,Dylan Strome,,POINTS,0.5,0.7,0.5034146962085905,-174,136.0,fanduel,Under,0.17194131694772663
2025-10-12,Will Cuylle,,POINTS,0.5,0.7,0.5034146962085905,132,-172.0,betonlineag,Over,0.1679220952039301
2025-10-12,J.T. Miller,,POINTS,0.5,0.7,0.5034146962085905,-175,135.0,draftkings,Under,0.16697546390981244
2025-10-12,J.T. Miller,,ASSISTS,0.5,0.4,0.32967995396436056,105,-135.0,draftkings,Under,0.16685341346944638
2025-10-12,Adam Fox,,ASSISTS,0.5,0.4,0.32967995396436056,105,-135.0,draftkings,Under,0.16685341346944638
2025-10-12,Aliaksei Protas,,GOALS,0.5,0.3,0.25918177931828207,350,-550.0,fanduel,Over,0.16631800693226928
2025-10-12,Connor McMichael,,ASSISTS,0.5,0.4,0.32967995396436056,250,-350.0,draftkings,Over,0.1538798388752619
2025-10-12,Jakob Chychrun,,POINTS,0.5,0.7,0.5034146962085905,128,-167.0,betonlineag,Over,0.14778550735558638
2025-10-12,Taylor Raddysh,,SOG,1.5,2.0,0.5939941502901616,-108,-120.0,betonlineag,Over,0.14398873389216305
2025-10-12,Dylan Strome,,ASSISTS,0.5,0.4,0.32967995396436056,110,-142.0,draftkings,Under,0.14237641648327282
2025-10-12,J.T. Miller,,POINTS,0.5,0.7,0.5034146962085905,-166,130.0,fanduel,Under,0.1421461987202418
2025-10-12,Dylan Strome,,POINTS,0.5,0.7,0.5034146962085905,-168,130.0,draftkings,Under,0.1421461987202418
2025-10-12,Artemi Panarin,,POINTS,1.5,0.7,0.1558049835546038,209,-286.0,betonlineag,Under,0.1393680991186116
2025-10-12,John Carlson,,POINTS,0.5,0.7,0.5034146962085905,126,-162.0,draftkings,Over,0.1377172134314144
2025-10-12,Jakob Chychrun,,POINTS,0.5,0.7,0.5034146962085905,126,-162.0,draftkings,Over,0.1377172134314144
2025-10-12,Will Cuylle,,POINTS,0.5,0.7,0.5034146962085905,126,-162.0,fanduel,Over,0.1377172134314144
2025-10-12,J.T. Miller,,POINTS,0.5,0.7,0.5034146962085905,-169,129.0,betonlineag,Under,0.13718034568232784
2025-10-12,Dylan Strome,,POINTS,0.5,0.7,0.5034146962085905,-167,128.0,betonlineag,Under,0.13221449264441387
2025-10-12,Jakob Chychrun,,POINTS,0.5,0.7,0.5034146962085905,124,-160.0,fanduel,Over,0.12764891950724278
2025-10-12,Mika Zibanejad,,POINTS,0.5,0.7,0.5034146962085905,-162,126.0,fanduel,Under,0.12228278656858538
2025-10-12,Mika Zibanejad,,POINTS,0.5,0.7,0.5034146962085905,-162,126.0,draftkings,Under,0.12228278656858538
2025-10-12,Mika Zibanejad,,POINTS,0.5,0.7,0.5034146962085905,-164,126.0,betonlineag,Under,0.12228278656858538
2025-10-12,Alex Ovechkin,,POINTS,0.5,0.7,0.5034146962085905,-158,124.0,fanduel,Under,0.11235108049275744
2025-10-12,Alex Ovechkin,,GOALS,0.5,0.3,0.25918177931828207,145,-200.0,fanduel,Under,0.11122733102257698
2025-10-12,John Carlson,,POINTS,0.5,0.7,0.5034146962085905,120,-156.0,betonlineag,Over,0.10751233165889917
2025-10-12,Jakob Chychrun,,SOG,2.5,2.0,0.32332358381693654,124,-161.0,betonlineag,Under,0.0969723268557735
2025-10-12,Connor McMichael,,GOALS,0.5,0.3,0.25918177931828207,320,-490.0,fanduel,Over,0.0885634731367847
2025-10-12,John Carlson,,POINTS,0.5,0.7,0.5034146962085905,116,-148.0,fanduel,Over,0.08737574381055546
2025-10-12,Jakob Chychrun,,SOG,2.5,2.0,0.32332358381693654,130,-168.0,draftkings,Under,0.07945999724441072
2025-10-12,Jakob Chychrun,,SOG,2.5,2.0,0.32332358381693654,130,-170.0,bovada,Under,0.07472136687898312
2025-10-12,Jakob Chychrun,,SOG,2.5,2.0,0.32332358381693654,130,-170.0,fanduel,Under,0.07472136687898312
2025-10-12,Mika Zibanejad,,ASSISTS,0.5,0.4,0.32967995396436056,130,-168.0,draftkings,Under,0.06932007343780583
2025-10-12,Alex Ovechkin,,POINTS,0.5,0.7,0.5034146962085905,-148,115.0,draftkings,Under,0.06765840315153049
2025-10-12,Alex Ovechkin,,POINTS,0.5,0.7,0.5034146962085905,-147,114.0,betonlineag,Under,0.06269255011361619
2025-10-12,Jakob Chychrun,,SOG,2.5,2.0,0.32332358381693654,130,-179.0,williamhill_us,Under,0.05470793360376924
2025-10-12,Total Saves,,SAVES,24.5,25.0,0.5266015314436506,100,-130.0,bovada,Over,0.053203062887301256
2025-10-12,Connor McMichael,,POINTS,0.5,0.7,0.5034146962085905,109,-141.0,betonlineag,Over,0.052136715075953965
2025-10-12,Aliaksei Protas,,SOG,1.5,2.0,0.5939941502901616,-130,100.0,draftkings,Over,0.05091272743643965
2025-10-12,Ryan Leonard,,SOG,1.5,2.0,0.5939941502901616,-130,100.0,betonlineag,Over,0.05091272743643965
2025-10-12,Ryan Leonard,,SOG,1.5,2.0,0.5939941502901616,-130,100.0,fanduel,Over,0.05091272743643965
2025-10-12,Aliaksei Protas,,SOG,1.5,2.0,0.5939941502901616,-130,100.0,bovada,Over,0.05091272743643965
2025-10-12,Aliaksei Protas,,SOG,1.5,2.0,0.5939941502901616,-132,-103.0,williamhill_us,Over,0.04398971869179913
2025-10-12,Aliaksei Protas,,SOG,1.5,2.0,0.5939941502901616,-133,103.0,betonlineag,Over,0.040606293365471
2025-10-12,Pierre-Luc Dubois,,GOALS,0.5,0.3,0.25918177931828207,300,-450.0,fanduel,Over,0.036727117273128274
2025-10-12,Aliaksei Protas,,SOG,1.5,2.0,0.5939941502901616,-135,104.0,fanduel,Over,0.03398981717176269
2025-10-12,Connor McMichael,,POINTS,0.5,0.7,0.5034146962085905,105,-135.0,draftkings,Over,0.032000127227610364
2025-10-12,Connor McMichael,,POINTS,0.5,0.7,0.5034146962085905,104,-132.0,fanduel,Over,0.026965980265524547
2025-10-12,Aliaksei Protas,,POINTS,0.5,0.7,0.5034146962085905,104,-132.0,fanduel,Over,0.026965980265524547
2025-10-12,Adam Fox,,SOG,1.5,2.0,0.5939941502901616,-140,108.0,fanduel,Over,0.01827568621170561
2025-10-12,Aliaksei Protas,,POINTS,0.5,0.7,0.5034146962085905,102,-132.0,betonlineag,Over,0.016897686341352802
2025-10-12,Dylan Strome,,SOG,1.5,2.0,0.5939941502901616,-141,105.0,williamhill_us,Over,0.015266597304460616
2025-10-12,Tom Wilson,,SOG,1.5,2.0,0.5939941502901616,-142,110.0,draftkings,Over,0.012299889931120356
2025-10-12,Dylan Strome,,SOG,1.5,2.0,0.5939941502901616,-142,110.0,draftkings,Over,0.012299889931120356
2025-10-12,Dylan Strome,,SOG,1.5,2.0,0.5939941502901616,-144,110.0,fanduel,Over,0.006490087991662619
2025-10-12,Tom Wilson,,SOG,1.5,2.0,0.5939941502901616,-145,110.0,bovada,Over,0.003645288421307513
