date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source,team_norm,player_norm
2026-03-01,Matt Coronato,CGY,ANA,POINTS,0.5,betmgm,100.0,-135.0,0.3614,0.276625,Under,0.2592083333333332,0.723375,ev,CGY,matt coronato
2026-03-01,Leo Carlsson,ANA,CGY,POINTS,0.5,pinnacle,-207.0,153.0,0.444,0.316,Under,0.72640875,0.682375,ev,ANA,leo carlsson
2026-03-01,Matthew Tkachuk,FLA,NYI,POINTS,0.5,draftkings,-188.0,145.0,0.538,0.352187,Under,0.5750437500000001,0.642875,ev,FLA,matthew tkachuk
2026-03-01,Mason McTavish,ANA,CGY,POINTS,0.5,pinnacle,-131.0,-101.0,0.4483,0.320063,Under,0.3486642277227721,0.6776869999999999,ev,ANA,mason mctavish
2026-03-01,MacKenzie Weegar,CGY,ANA,ASSISTS,0.5,betmgm,165.0,-220.0,0.4217,0.305188,Under,0.0106356363636363,0.694812,ev,CGY,mackenzie weegar
2026-03-01,Nazem Kadri,CGY,ANA,ASSISTS,0.5,draftkings,140.0,-182.0,0.4204,0.304875,Under,0.0762870879120879,0.694625,ev,CGY,nazem kadri
2026-03-01,Cutter Gauthier,ANA,CGY,ASSISTS,0.5,pinnacle,140.0,-188.0,0.4587,0.332375,Under,0.0325106382978722,0.6739999999999999,ev,ANA,cutter gauthier
2026-03-01,Brad Marchand,FLA,NYI,POINTS,0.5,pinnacle,-157.0,118.0,0.6637,0.409938,Under,0.3082724999999998,0.600125,ev,FLA,brad marchand
2026-03-01,Matthew Schaefer,NYI,FLA,POINTS,0.5,betmgm,100.0,-130.0,0.5258,0.354312,Under,0.1423710769230769,0.645688,ev,NYI,matthew schaefer
2026-03-01,Chris Kreider,ANA,CGY,POINTS,0.5,pinnacle,-124.0,-106.0,0.6066,0.395062,Under,0.1662806603773585,0.600125,ev,ANA,chris kreider
2026-03-01,Brad Marchand,FLA,NYI,BLOCKS,3.5,,,,0.0428,2e-06,Under,,0.999998,nolines,FLA,brad marchand
2026-03-01,Nazem Kadri,CGY,ANA,BLOCKS,3.5,,,,0.0931,4e-05,Under,,0.99996,nolines,CGY,nazem kadri
2026-03-01,Carter Verhaeghe,FLA,NYI,BLOCKS,3.5,,,,0.0962,4.3e-05,Under,,0.999957,nolines,FLA,carter verhaeghe
2026-03-01,Chris Kreider,ANA,CGY,BLOCKS,3.5,,,,0.0993,5e-05,Under,,0.99995,nolines,ANA,chris kreider
2026-03-01,Beckett Sennecke,ANA,CGY,BLOCKS,3.5,,,,0.0999,5.1e-05,Under,,0.999949,nolines,ANA,beckett sennecke
2026-03-01,Brad Marchand,FLA,NYI,BLOCKS,2.5,,,,0.0428,5.5e-05,Under,,0.999945,nolines,FLA,brad marchand
2026-03-01,Matthew Tkachuk,FLA,NYI,BLOCKS,3.5,,,,0.1206,9.8e-05,Under,,0.999902,nolines,FLA,matthew tkachuk
2026-03-01,Leo Carlsson,ANA,CGY,BLOCKS,3.5,,,,0.1702,0.000345,Under,,0.999655,nolines,ANA,leo carlsson
2026-03-01,Matt Coronato,CGY,ANA,BLOCKS,3.5,,,,0.171,0.000356,Under,,0.999644,nolines,CGY,matt coronato
2026-03-01,Mikael Backlund,CGY,ANA,BLOCKS,3.5,,,,0.171,0.000356,Under,,0.999644,nolines,CGY,mikael backlund
2026-03-01,Cutter Gauthier,ANA,CGY,BLOCKS,3.5,,,,0.1744,0.000375,Under,,0.999625,nolines,ANA,cutter gauthier
2026-03-01,Nazem Kadri,CGY,ANA,BLOCKS,2.5,,,,0.0931,0.000526,Under,,0.999474,nolines,CGY,nazem kadri
2026-03-01,Carter Verhaeghe,FLA,NYI,BLOCKS,2.5,,,,0.0962,0.00055,Under,,0.99945,nolines,FLA,carter verhaeghe
2026-03-01,Chris Kreider,ANA,CGY,BLOCKS,2.5,,,,0.0993,0.000621,Under,,0.999379,nolines,ANA,chris kreider
2026-03-01,Beckett Sennecke,ANA,CGY,BLOCKS,2.5,,,,0.0999,0.000631,Under,,0.999369,nolines,ANA,beckett sennecke
2026-03-01,Sam Bennett,FLA,NYI,BLOCKS,3.5,,,,0.2338,0.000978,Under,,0.999022,nolines,FLA,sam bennett
2026-03-01,Matthew Tkachuk,FLA,NYI,BLOCKS,2.5,,,,0.1206,0.001022,Under,,0.998978,nolines,FLA,matthew tkachuk
2026-03-01,Anders Lee,NYI,FLA,BLOCKS,3.5,,,,0.2585,0.001432,Under,,0.998568,nolines,NYI,anders lee
2026-03-01,Brad Marchand,FLA,NYI,BLOCKS,1.5,,,,0.0428,0.001519,Under,,0.998481,nolines,FLA,brad marchand
2026-03-01,Connor Zary,CGY,ANA,BLOCKS,3.5,,,,0.2948,0.002187,Under,,0.997813,nolines,CGY,connor zary
2026-03-01,Blake Coleman,CGY,ANA,BLOCKS,3.5,,,,0.2948,0.002187,Under,,0.997813,nolines,CGY,blake coleman
2026-03-01,Leo Carlsson,ANA,CGY,BLOCKS,2.5,,,,0.1702,0.002647,Under,,0.997353,nolines,ANA,leo carlsson
2026-03-01,Mikael Backlund,CGY,ANA,BLOCKS,2.5,,,,0.171,0.002713,Under,,0.997287,nolines,CGY,mikael backlund
2026-03-01,Matt Coronato,CGY,ANA,BLOCKS,2.5,,,,0.171,0.002713,Under,,0.997287,nolines,CGY,matt coronato
2026-03-01,Cutter Gauthier,ANA,CGY,BLOCKS,2.5,,,,0.1744,0.002819,Under,,0.997181,nolines,ANA,cutter gauthier
2026-03-01,Alex Killorn,ANA,CGY,BLOCKS,3.5,,,,0.3527,0.003768,Under,,0.996232,nolines,ANA,alex killorn
2026-03-01,Bo Horvat,NYI,FLA,BLOCKS,3.5,,,,0.4025,0.005654,Under,,0.994346,nolines,NYI,bo horvat
2026-03-01,Sam Bennett,FLA,NYI,BLOCKS,2.5,,,,0.2338,0.005749,Under,,0.994251,nolines,FLA,sam bennett
2026-03-01,Joel Farabee,CGY,ANA,BLOCKS,3.5,,,,0.424,0.006623,Under,,0.993377,nolines,CGY,joel farabee
2026-03-01,Nazem Kadri,CGY,ANA,BLOCKS,1.5,,,,0.0931,0.006861,Under,,0.993139,nolines,CGY,nazem kadri
2026-03-01,Carter Verhaeghe,FLA,NYI,BLOCKS,1.5,,,,0.0962,0.007024,Under,,0.992976,nolines,FLA,carter verhaeghe
2026-03-01,Morgan Frost,CGY,ANA,BLOCKS,3.5,,,,0.436,0.007182,Under,,0.992818,nolines,CGY,morgan frost
2026-03-01,Anders Lee,NYI,FLA,BLOCKS,2.5,,,,0.2585,0.007657,Under,,0.992343,nolines,NYI,anders lee
2026-03-01,Chris Kreider,ANA,CGY,BLOCKS,1.5,,,,0.0993,0.00766,Under,,0.99234,nolines,ANA,chris kreider
2026-03-01,Beckett Sennecke,ANA,CGY,BLOCKS,1.5,,,,0.0999,0.007747,Under,,0.992253,nolines,ANA,beckett sennecke
2026-03-01,Anton Lundell,FLA,NYI,BLOCKS,3.5,,,,0.4573,0.00783,Under,,0.99217,nolines,FLA,anton lundell
2026-03-01,Mackie Samoskevich,FLA,NYI,BLOCKS,3.5,,,,0.4724,0.008586,Under,,0.991414,nolines,FLA,mackie samoskevich
2026-03-01,Evan Rodrigues,FLA,NYI,BLOCKS,3.5,,,,0.4724,0.008586,Under,,0.991414,nolines,FLA,evan rodrigues
2026-03-01,Sam Reinhart,FLA,NYI,BLOCKS,3.5,,,,0.4905,0.009549,Under,,0.990451,nolines,FLA,sam reinhart
2026-03-01,Connor Zary,CGY,ANA,BLOCKS,2.5,,,,0.2948,0.010585,Under,,0.989415,nolines,CGY,connor zary
2026-03-01,Blake Coleman,CGY,ANA,BLOCKS,2.5,,,,0.2948,0.010585,Under,,0.989415,nolines,CGY,blake coleman
2026-03-01,Matthew Tkachuk,FLA,NYI,BLOCKS,1.5,,,,0.1206,0.010615,Under,,0.989385,nolines,FLA,matthew tkachuk
2026-03-01,Emil Heineman,NYI,FLA,BLOCKS,3.5,,,,0.531,0.012409,Under,,0.987591,nolines,NYI,emil heineman
2026-03-01,Simon Holmstrom,NYI,FLA,BLOCKS,3.5,,,,0.531,0.012409,Under,,0.987591,nolines,NYI,simon holmstrom
2026-03-01,Alex Killorn,ANA,CGY,BLOCKS,2.5,,,,0.3527,0.015916,Under,,0.984084,nolines,ANA,alex killorn
2026-03-01,Mathew Barzal,NYI,FLA,BLOCKS,3.5,,,,0.5846,0.016058,Under,,0.983942,nolines,NYI,mathew barzal
2026-03-01,Leo Carlsson,ANA,CGY,BLOCKS,1.5,,,,0.1702,0.020126,Under,,0.979874,nolines,ANA,leo carlsson
2026-03-01,Matt Coronato,CGY,ANA,BLOCKS,1.5,,,,0.171,0.020457,Under,,0.979543,nolines,CGY,matt coronato
2026-03-01,Mikael Backlund,CGY,ANA,BLOCKS,1.5,,,,0.171,0.020457,Under,,0.979543,nolines,CGY,mikael backlund
2026-03-01,Cutter Gauthier,ANA,CGY,BLOCKS,1.5,,,,0.1744,0.020989,Under,,0.979011,nolines,ANA,cutter gauthier
2026-03-01,Bo Horvat,NYI,FLA,BLOCKS,2.5,,,,0.4025,0.021467,Under,,0.978533,nolines,NYI,bo horvat
